ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes,keep_reason
4005900601902,UV Face SPF 50 Sensitive,Nivea Sun,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4005900601902/uv-face-spf-50-sensitive-nivea-sun,,category=face/skincare
3760214630208,L'Expert,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630208/l-expert-omum,,category=face/skincare
30096189,La Confidente,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/30096189/la-confidente-omum,,category=face/skincare
3760214630017,La Surdouée,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630017/la-surdouee-omum,,category=face/skincare
3760214630024,Le Bienfaiteur,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630024/le-bienfaiteur-omum,,category=face/skincare
3760214630178,Le Coach fermeté,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630178/le-coach-fermete-omum,,category=face/skincare
3760214630185,Ma Jolie Peau,Omum,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760214630185/ma-jolie-peau-omum,,category=face/skincare
3770002306062,Comme à la plage Crème bonne mine hydratante et autobronzante,Pulpe de vie,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770002306062/comme-a-la-plage-creme-bonne-mine-hydratante-et-autobronzante-pulpe-de-vie,,category=face/skincare
3607349796754,BB Cream matte - 001 claire,Rimmel,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3607349796754/bb-cream-matte-001-claire-rimmel,,category=face/skincare
3607343730341,BB cream radiance 9 en 1 SPF 20 - 001 claire,Rimmel,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3607343730341/bb-cream-radiance-9-en-1-spf-20-001-claire-rimmel,,category=face/skincare
3361370627073,MB dermo cold crème Saint-Gervais Mont Blanc,Rivadis,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3361370627073/mb-dermo-cold-creme-saint-gervais-mont-blanc-rivadis,,category=face/skincare
3517360016970,Hydra Aloé Vera,So Bio Etic,face/skincare,FR|SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360016970/hydra-aloe-vera-so-bio-etic,,category=face/skincare
3770020070006,L'incontournable savon au lait de chèvre parfum amande,Soin Amalthée,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770020070006/l-incontournable-savon-au-lait-de-chevre-parfum-amande-soin-amalthee,,category=face/skincare
3770020070020,L'incontournable savon au lait de chèvre parfum rose,Soin Amalthée,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770020070020/l-incontournable-savon-au-lait-de-chevre-parfum-rose-soin-amalthee,,category=face/skincare
3770020070013,L'incontournable savon au lait de chèvre parfum thé,Soin Amalthée,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770020070013/l-incontournable-savon-au-lait-de-chevre-parfum-the-soin-amalthee,,category=face/skincare
4066447814958,Crema solare 50+ spray,Sun dance,face/skincare,AT|DE|IT,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4066447814958/crema-solare-50-spray-dm,,category=face/skincare
3401344502200,Cicavit+ Crème,SVR,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3401344502200/cicavit-creme-svr,,name/brand looks face
3401381381691,Topialyse - Crème Émolliente,SVR,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3401381381691/topialyse-creme-emolliente-svr,,name/brand looks face
5600829361105,Active Botanical Eye Contour (15ml),TandheM,face/skincare,PT,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5600829361105/active-botanical-eye-contour-15ml-tandhem-neurocosmetics,,category=face/skincare
5600829361099,Pro-Aging Essential Face Serum (30 ml),TandheM,face/skincare,PT,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5600829361099/pro-aging-essential-face-serum-30-ml-tandhem-neurocosmetics,,category=face/skincare
5061087560738,Starter retinol serum,The Inkey List,face/skincare,NL,no,yes,yes,,cfi,obf-label,https://world.openbeautyfacts.org/product/5061087560738/starter-retinol-serum-the-inkey-list,OBF-Label crowd-sourced; Siegel vor Launch re-checken,category=face/skincare
5060879821989,"Vitamin B, C and E moisturizer",The Inkey List,face/skincare,NL,no,yes,yes,,cfi,obf-label,https://world.openbeautyfacts.org/product/5060879821989/vitamin-b-c-and-e-moisturizer-the-inkey-list,OBF-Label crowd-sourced; Siegel vor Launch re-checken,category=face/skincare
3504750011028,monoï tiki tahiti,tiare,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3504750011028/monoi-tiki-tahiti-tiare,,category=face/skincare
3661434006968,Xemose - Baume Oléo-Apaisant Anti-Grattage,Uriage,other,BE|FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3661434006968/xemose-baume-oleo-apaisant-anti-grattage-uriage,,name/brand looks face
3596200064432,Contour des Yeux hydratant,Weleda,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3596200064432/contour-des-yeux-hydratant-weleda,,name/brand looks face
3596206332825,Crème au calendula,Weleda,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3596206332825/creme-au-calendula-weleda,,category=face/skincare
3596200064425,Fluide hydratant 24h,Weleda,other,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3596200064425/fluide-hydratant-24h-weleda,,name/brand looks face
3401360192539,Fluide matifiant,Weleda,other,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3401360192539/fluide-matifiant-weleda,,name/brand looks face
3596202092938,Iris Crème de jour hydratante,Weleda,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3596202092938/iris-creme-de-jour-hydratante-weleda,,category=face/skincare
3660005548890,Pur Bleuet,Yves Rocher,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3660005548890/pur-bleuet-yves-rocher,,category=face/skincare
8710444217408,Suncare,Zenova,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8710444217408/suncare-zenova,,category=face/skincare
3760354680255,Baume de tamanu,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680255/baume-de-tamanu-zenzitude,,category=face/skincare
3760354680293,beurre de karité bio,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680293/beurre-de-karite-bio-zenzitude,,category=face/skincare
3760354680286,beurre de karité bio,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680286/beurre-de-karite-bio-zenzitude,,category=face/skincare
3760354680095,bougie de massage fleur de tiaré,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680095/bougie-de-massage-fleur-de-tiare-zenzitude,,category=face/skincare
3760354680101,Bougie de massage pomme d'amour,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680101/bougie-de-massage-pomme-d-amour-zenzitude,,category=face/skincare
3760354680118,bougie de massage vanille tonka,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680118/bougie-de-massage-vanille-tonka-zenzitude,,category=face/skincare
3760354680279,Coffret occitan,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680279/coffret-occitan-zenzitude,,category=face/skincare
3760354680163,huile de chanvre bio,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680163/huile-de-chanvre-bio-zenzitude,,category=face/skincare
3760354680132,huile de tamanu,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680132/huile-de-tamanu-zenzitude,,category=face/skincare
3760354680019,huile démaquillante passion,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680019/huile-demaquillante-passion-zenzitude,,category=face/skincare
3760354680248,huile démaquillante vanille,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680248/huile-demaquillante-vanille-zenzitude,,category=face/skincare
3760354680231,Macérât de calendula,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680231/macerat-de-calendula-zenzitude,,category=face/skincare
3760354680323,savon cléananas,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680323/savon-cleananas-zenzitude,,category=face/skincare
3760354680347,Savon exfoliant,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680347/savon-exfoliant-zenzitude,,category=face/skincare
3760354680309,Savon tamanu,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680309/savon-tamanu-zenzitude,,category=face/skincare
3760354680316,Savon zenzitude,Zenzitude,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760354680316/savon-zenzitude,,category=face/skincare
